22-316,37,1,1.538888889,0.667,13,1,3,5,3,22316
22-318,34,1,1.605555556,0.69,6,2,3,2,22,22318
22-319,44,1,1.638888889,0.766,13,2,2,2,23,22319
22-321,32,1,1.6375,0.653,8,2,1,6,21,22321
22-324,28,1,1.732638889,0.581,7,0,3,3,21,22324
22-327,33,1,1.596527778,0.698,6,1,0,1,21,22327
22-329,28,1,1.159027778,0.78,9,2,0,4,14,22329
22-330,14,1,1.33125,0.394,4,1,2,3,16,22330
22-332,29,1,1.585416667,0.52,2,1,1,3,27,22332
22-336,40,1,1.676388889,0.774,11,4,0,7,21,22336
22-339,28,1,1.486805556,0.509,8,2,1,1,24,22339
22-340,33,1,1.670138889,0.692,11,3,1,3,19,22340
22-342,27,1,1.825694444,0.52,9,3,2,2,22,22342
22-344,21,1,1.454861111,0.563,6,2,3,3,16,22344
22-347,24,1,1.654861111,0.467,13,5,3,3,20,22347
22-349,23,1,1.631944444,0.461,9,1,0,0,21,22349
22-354,27,1,1.622916667,0.615,9,3,0,3,18,22354
22-357,32,1,1.09375,0.737,13,0,5,2,16,22357
22-359,20,1,1.523611111,0.425,8,1,3,0,20,22359
22-361,33,1,1.414583333,0.669,22,3,3,2,15,22361
22-363,40,1,1.629166667,0.663,14,1,0,4,24,22363
23-000,25,1,1.572222222,0.587,12,4,1,6,16,23000
23-002,27,1,1.795138889,0.556,12,2,2,4,19,23002
23-003,37,1,1.642361111,0.713,9,3,2,2,22,23003
23-007,32,1,1.7375,0.581,8,5,5,2,24,23007
23-009,29,1,1.654861111,0.66,9,5,0,1,18,23009
23-010,28,1,1.763194444,0.53,10,2,4,3,22,23010
23-013,27,1,1.670138889,0.7,12,1,2,3,14,23013
23-016,26,1,1.520833333,0.553,8,1,1,0,20,23016
23-020,28,1,1.530555556,0.713,6,1,1,4,17,23020
23-022,22,1,1.683333333,0.55,0,3,0,4,20,23022
23-023,23,1,1.659027778,0.648,4,6,1,5,16,23023
23-026,26,1,1.731944444,0.592,9,2,0,0,18,23026
23-028,31,1,1.214583333,0.72,8,3,1,2,18,23028
23-030,24,1,1.396527778,0.668,9,1,2,2,14,23030
23-031,34,1,1.702083333,0.794,10,2,2,3,17,23031
23-033,17,1,1.343055556,0.6,14,1,2,4,8,23033
23-035,26,1,1.399305556,0.67,10,3,0,2,15,23035
23-037,23,1,1.48125,0.566,3,2,0,3,19,23037
23-039,22,1,1.275694444,0.671,10,1,1,2,12,23039
23-040,27,1,1.622222222,0.456,15,7,0,3,23,23040
23-042,22,1,1.598611111,0.509,15,2,2,1,15,23042
23-051,41,1,1.370833333,0.825,11,2,2,1,20,23051
23-053,27,1,1.441666667,0.577,10,3,1,4,19,23053
23-054,31,1,1.48125,0.587,10,3,0,4,22,23054
23-057,17,1,1.48125,0.473,9,1,0,5,14,23057
23-058,29,1,1.553472222,0.552,12,0,3,2,21,23058
23-060,16,1,1.158333333,0.595,1,1,0,2,13,23060
23-062,23,1,1.44375,0.449,6,1,1,3,23,23062
23-065,23,1,1.670138889,0.478,7,0,1,5,21,23065
23-066,32,1,1.579166667,0.591,7,1,1,3,24,23066
23-069,15,1,1.427777778,0.444,2,3,1,1,16,23069
23-071,36,1,1.625694444,0.685,12,3,0,6,21,23071
23-079,26,1,1.890277778,0.547,4,3,2,3,22,23079
23-081,20,1,1.656944444,0.446,10,1,2,0,18,23081
23-083,23,1,1.636805556,0.589,8,2,3,5,16,23083
23-084,11,1,1.247916667,0.423,0,0,0,4,13,23084
23-086,24,1,1.806944444,0.515,12,2,2,4,18,23086
23-088,35,1,1.744444444,0.639,10,3,2,4,23,23088
23-089,18,1,1.540972222,0.495,5,2,2,2,16,23089
23-091,30,1,1.572222222,0.626,9,2,1,6,20,23091
23-093,28,1,1.468055556,0.611,18,2,2,1,15,23093
23-096,20,1,1.156944444,0.585,7,1,0,6,14,23096
23-098,38,1,1.685416667,0.609,5,1,3,2,29,23098
23-101,33,1,1.641666667,0.579,8,4,4,2,25,23101
23-103,37,1,1.608333333,0.745,11,3,1,2,20,23103
23-105,12,1,0.694444444,0.581,3,0,1,4,9,23105
23-109,25,1,1.581944444,0.687,5,2,1,3,16,23109
23-111,26,1,1.647222222,0.651,9,2,0,4,16,23111
23-113,32,1,1.445138889,0.847,2,1,2,1,18,23113
23-114,27,1,1.771527778,0.508,15,6,0,4,20,23114
23-116,18,1,1.367361111,0.575,6,2,1,4,13,23116
23-118,29,1,1.517361111,0.568,8,1,1,5,22,23118
23-120,19,1,1.504861111,0.409,5,0,4,1,21,23120
23-126,10,1,0.916666667,0.357,0,1,0,5,,23126
,,,,,,,,,,
,,,,,,,,,14,
